,date,time,conn_country,platform,track_name,artist_name,album_name,ms_played,spotifyID,reason_start,reason_end,shuffle,skipped,offline,incognito_mode,play_count,genre,energy,theme,language
0,2024-01-01,18:58:14,US,ios,2U,David Guetta,2U,194906,762UXiwEHYY97VL45sAUPR,fwdbtn,trackdone,True,False,False,False,6,Dance-pop,0.5,Romantic,English
1,2024-01-01,18:58:21,US,ios,Toyota Music,Big Sean,Hall Of Fame,2484,5Pd7oO5U5fP9lXUjeUFMxi,fwdbtn,fwdbtn,True,True,False,False,12,Hip-Hop/Rap,0.5,Empowered,English
2,2024-01-01,19:01:40,US,ios,Meant for Two,Miles Away,Miles Away,200000,1Dho6Tu3ko1AEHzJWTvI0K,fwdbtn,trackdone,True,False,False,False,8,J-Pop/Electronic,0.7,Romantic,Japanese
3,2024-01-01,19:06:28,US,ios,Too Hotty,Quality Control,Quality Control: Control The Streets Volume 1,295997,3hWUIMNBwLNug1O8o2PPRW,trackdone,trackdone,True,False,False,False,9,Hip-Hop/Trap,0.8,Empowered,English
4,2024-01-01,19:09:39,US,ios,Drifting Away,Audien,Drifting Away,198750,6nbXYLeP21ksEQNFrHl2a2,trackdone,trackdone,True,False,False,False,15,Progressive House,0.47,Uplifting,English
5,2024-01-01,19:13:16,US,ios,Fast Car,Luke Combs,Gettin' Old,6700,1Lo0QY9cvc8sUB2vnIOxDT,trackdone,fwdbtn,True,True,False,False,8,Country,0.6,Bittersweet,English
6,2024-01-01,19:13:16,US,ios,Asal Mein,Darshan Raval,Asal Mein,224240,0rMeOAvbQZ2RTG4B6L1M4p,trackdone,trackdone,True,False,False,False,19,Pop,0.6,Romantic,Hindi
7,2024-01-01,19:18:15,US,ios,In My Mind,ILLENIUM,Fallen Embers,300222,4nRbhflKt9BAc6YulQ22ga,fwdbtn,trackdone,True,False,False,False,9,Future Bass,0.55,Melancholy,English
8,2024-01-01,19:37:09,US,ios,Lost In Japan - Remix,Shawn Mendes,Lost In Japan,201253,575NJxNUVDqwJGdzBrlLbv,trackdone,trackdone,True,False,False,False,8,Pop,0.7,Romantic,English
9,2024-01-01,19:40:37,US,ios,Walk Me Home,Said The Sky,Sentiment,216125,5fWRLdgfMlbKDncAhdN9zI,trackdone,trackdone,True,False,False,False,15,Melodic Dubstep,0.55,Hopeful,English
10,2024-01-01,19:45:46,US,ios,Electricity,Silk City,Electricity,238173,5N4erncE7kuUccm7zEmwzk,trackdone,trackdone,True,False,False,False,9,House,0.45,Uplifting,English
11,2024-01-01,19:47:26,US,ios,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,Funk Wav Bounces Vol.1,101640,5bcTCxgc7xVfSaMV3RuVke,trackdone,unexpected-exit-while-paused,True,False,False,False,9,Electropop,0.7,Uplifting,English
12,2024-01-02,02:50:49,US,ios,Husn,Anuv Jain,Husn,217894,0TL0LFcwIBF5eX7arDIKxY,clickrow,endplay,False,True,False,False,11,Indie Pop,0.5,Romantic,Hindi
13,2024-01-02,02:58:29,US,ios,Pehle Bhi Main,Vishal Mishra,ANIMAL,250158,7yDHHVKLbvDmVw1XXhDDIO,trackdone,trackdone,False,False,False,False,13,Bollywood Pop/Romantic,0.5,Nostalgic,Hindi
14,2024-01-02,03:01:32,US,ios,Mahiye Jinna Sohna,Darshan Raval,Dard,181250,0Jiaz0O4AqnJICa9PxHhaR,trackdone,trackdone,False,False,False,False,21,Bollywood Pop,0.6,Romantic,Hindi
15,2024-01-02,03:04:42,US,ios,Kho Gaye,Taaruk Raina,Mismatched: Season 2 (Soundtrack from the Netflix Series),197763,2QophXhN2Ls2URfoPmiviC,trackdone,trackdone,False,False,False,False,14,Indie Pop,0.5,Melancholy,Hindi
16,2024-01-02,03:07:49,US,ios,Maan Meri Jaan,King,Champagne Talk,194653,1418IuVKQPTYqt7QNJ9RXN,trackdone,trackdone,False,False,False,False,22,Pop,0.6,Romantic,Hindi
17,2024-01-02,03:11:56,US,ios,Awaargi,Aditya A,Awaargi,61491,2YevgojIN3UouxDM5JjzE0,trackdone,trackdone,False,False,False,False,12,Indie Pop,0.65,Bittersweet,Hindi
18,2024-01-02,03:13:05,US,ios,Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),77252,3mUkVsovIuscQlSoMhmAZt,trackdone,trackdone,False,False,False,False,6,Lo-Fi Hip Hop,0.4,Melancholy,Hindi
19,2024-01-02,03:15:33,US,ios,"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")",Darshan Raval,"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"") - Single",155172,3jyqXdAjwqO3gFtjnYrbq9,trackdone,trackdone,False,False,False,False,6,Romantic Pop,0.5,Romantic,Hindi
20,2024-01-02,03:17:12,US,ios,Your Eyes,Barney Sku,Your Eyes,107081,5pebgx4IJ5YvZH2sYOHDRf,trackdone,trackdone,False,False,False,False,5,Pop,0.7,Romantic,English
